id;name;type;ipadd;site_code;area_code;address;city;description
1;Pusat;HO;;000;000;Jl. Tentara Pelajar No 7;Yogyakarta;
2;Lintasarta;POP;;;;;All City;Point of Presence (PoP) adalah infrastruktur ISP terluar/terdekat dengan customer
3;ICON+;POP;;;;;All City;Point of Presence (PoP) adalah infrastruktur ISP terluar/terdekat dengan customer
4;Telkom;POP;;;;;All City;Point of Presence (PoP) adalah infrastruktur ISP terluar/terdekat dengan customer
5;Utama;KC;172.16.3.0/24;001;000;Jl. Tentara Pelajar No 7 ;Yogyakarta;
6;Wonosari;KC;172.16.22.0/24;002;000;Jl. Brigjen Katamso No. 4;Gunungkidul;
7;Wates;KC;172.16.24.0/24;003;000;Jl. Stasiun No. 1;Kulon Progo;
8;Bantul;KC;172.16.34.0/24;004;000;Jl. Jend. Sudirman No. 2A;Bantul;
9;Sleman;KC;172.16.25.0/24;005;000;Jl. Magelang Km. 11 Tridadi;Sleman;
10;Senopati;KC;172.16.4.0/24;006;000;Jl. P. Senopati No. 5-7;Yogyakarta;
11;Malioboro;KCP;172.16.39.0/24;007;001;Jl. Malioboro;Yogyakarta;
12;UPN Veteran;KK;172.16.73.0/24;008;001;Jl. Swk 104 ( Ring Road );Yogyakarta;
13;RS Bethesda;KK;172.16.8.0/24;009;001;Jl. Jend. Sudirman No. 70;Yogyakarta;
14;RSKIA Bethesda Lempuyangwangi;KK;172.16.43.0/24;010;001;Jl. Hayam Wuruk No. 6;Yogyakarta;
15;Semin;KCP;172.16.12.0/24;011;002;Jl. Raya Semin;Gunungkidul;
16;Karangmojo;KCP;172.16.23.0/24;012;002;Jl. Karangmojo Wonosari Km 1 Karangmojo;Gunungkidul;
17;Playen;KCP;172.16.15.0/24;013;002;Sumberejo, Ngawu, Playen;Gunungkidul;
18;RSUD Wonosari;KK;172.16.86.0/24;014;002;Komplek RSUD Wonosari, Jl. Taman Bakti No 6;Gunungkidul;
19;Ponjong;KK;172.16.17.0/24;015;012;Karangijo Wetan RT. 03/RW. 04;Gunungkidul;
20;Semanu;KK;172.16.16.0/24;016;012;Munggi Pasar RT. 01/RW. 03;Gunungkidul;
21;Nglipar;KCP;172.16.64.0/24;017;002;Jl. Raya Wonosari Nglipar KM 11;Gunungkidul;
22;Patuk;KK;172.16.62.0/24;018;013;Jl. Raya Patuk Wonosari No. 38 KM 17;Gunungkidul;
23;Paliyan;KK;172.16.63.0/24;019;013;Tahunan RT. 04/RW. 02 Karangduwet;Gunungkidul;
24;Pemda Gunung Kidul;KK;;020;002;Komplek Setda Kab. Gunung Kidul, Jl. Brig. Katamso;Gunungkidul;
25;Galur;KCP;172.16.11.0/24;021;003;Ds. Pulo Brosot;Kulon Progo;
26;Nanggulan;KCP;172.16.10.0/24;022;003;Jatisarono, Nanggulan;Kulon Progo;
27;Sentolo;KCP;172.16.19.0/24;023;003;Ds. Kalibondol;Kulon Progo;
28;Temon;KCP;172.16.20.0/24;024;003;Jl. Raya Wates Purworejo KM 12;Kulon Progo;
29;RSUD Wates;KK;172.16.79.0/24;025;003;Komplek RSUD Wates, Jl. Tentara Pelajar No.5;Kulon Progo;
30;Bendungan;KK;172.16.42.0/24;026;003;Bendungan Kidul, Bendungan;Kulon Progo;
31;Dekso;KK;172.16.18.0/24;027;022;Jogobayan, Banjararum;Kulon Progo;
32;Binangun;KK;172.16.47.0/24;028;003;Komplek Pemda Kab. Kulonprogo;Kulon Progo;
33;Piyungan;KCP;172.16.36.0/24;029;004;Jl. Raya Wonosari KM. 14;Bantul;
34;Imogiri;KCP;172.16.35.0/24;030;004;Jl. Raya Imogiri Bantul;Bantul;
35;RSUD Bantul;KK;172.16.74.0/24;031;004;Jl. Dr. Wahidin Sudirohusodo, Jebukan;Bantul;
36;Srandakan;KCP;172.16.38.0/24;032;004;Jl. Srandakan KM. 2 Barat Pasar Minggiran;Bantul;
37;Sewon;KK;172.16.37.0/24;033;004;Jl. Bantul KM. 4 Kweni;Bantul;
38;Gabusan;KK;172.16.56.0/24;034;004;Jl. Parangtritis KM 9, Gatak;Bantul;
39;Sedayu;KCP;172.16.46.0/24;035;004;Jl. Wates KM. 10,5 No. 4 Argomulyo;Bantul;
40;Kretek;KCP;172.16.45.0/24;036;004;Jl. Parangtritis KM. 21;Bantul;
41;Pleret;KCP;172.16.44.0/24;037;004;Timur Pasar Pleret, Kauman;Bantul;
42;Parasamya;KK;172.16.41.0/24;038;004;Komplek Pemda Bantul;Bantul;
