id;name;type;ipadd;idx;site_code;area_code;location;city;description;tagline
1;Lintasarta;POP;;;;;;All City;Point of Presence (PoP) adalah infrastruktur ISP terluar/terdekat dengan customer;
2;ICON;POP;;;;;;All City;Point of Presence (PoP) adalah infrastruktur ISP terluar/terdekat dengan customer;
3;Telkom;POP;;;;;;All City;Point of Presence (PoP) adalah infrastruktur ISP terluar/terdekat dengan customer;
4;Pusat;HO;;;000;000;Jl. Tentara Pelajar No.7, Bumijo, Jetis;Yogyakarta;;
5;Utama;KC;172.16.3.0/24;3;001;000;Jl. Tentara Pelajar No.7, Bumijo, Jetis;Yogyakarta;;
6;Wonosari;KC;172.16.22.0/24;22;002;000;Jl. Brigjen Katamso No. 4, Wonosari;Gunungkidul;;
7;Wates;KC;172.16.24.0/24;24;003;000;Jl. Stasiun No. 1, Wates;Kulon Progo;;
8;Bantul;KC;172.16.34.0/24;34;004;000;Jl. Jend. Sudirman No. 2A;Bantul;;
9;Sleman;KC;172.16.25.0/24;25;005;000;Jl. Magelang KM. 11, Tridadi;Sleman;;
10;Senopati;KC;172.16.4.0/24;4;006;000;Jl. P. Senopati No. 5-7, Ngupasan, Gondomanan;Yogyakarta;;
11;Malioboro;KCP;172.16.39.0/24;39;007;001;Kompleks Kepatihan, Jl. Marioboro, Danurejan;Yogyakarta;;
12;UPN;KK;172.16.73.0/24;73;008;001;Jl. SWK 104 (Lingkar Utara) Condongcatur;Yogyakarta;;upn veteran
13;Bethesda;KK;172.16.8.0/24;8;009;001;Jl. Jend. Sudirman No. 70;Yogyakarta;;rs bethesda
14;Lempuyangan;KK;172.16.43.0/24;43;010;001;Jl. Hayam Wuruk No. 6;Yogyakarta;;rskia bethesda lempuyangwangi
15;Semin;KCP;172.16.12.0/24;12;011;002;Jl. Raya Semin, Semin;Gunungkidul;;
16;Karangmojo;KCP;172.16.23.0/24;23;012;002;Jl. Karangmojo-Wonosari KM. 9 Semin, Plumbungan, Karangmojo;Gunungkidul;;
17;Playen;KCP;172.16.15.0/24;15;013;002;Jl. Pramuka, Dusun Playen I, Playen;Gunungkidul;;
18;RSUD Wonosari;KK;172.16.86.0/24;86;014;002;Komplek RSUD Wonosari, Jl. Taman Bakti No 6, Wonosari;Gunungkidul;;
19;Ponjong;KK;172.16.17.0/24;17;015;012;Jl. Depan Pasar Ponjong, Karangijo Wetan, Ponjong;Gunungkidul;;
20;Semanu;KK;172.16.16.0/24;16;016;012;Kompleks Pasar Munggi No. 106  RT. 01/RW. 03, Semanu;Gunungkidul;;
21;Nglipar;KCP;172.16.64.0/24;64;017;002;Jl. Raya Wonosari Nglipar KM. 11;Gunungkidul;;
22;Patuk;KK;172.16.62.0/24;62;018;013;Jl. Raya Patuk Wonosari KM 18 No. 38 ;Gunungkidul;;
23;Paliyan;KK;172.16.63.0/24;63;019;013;Tahunan RT. 04/RW. 02, Karangduwet;Gunungkidul;;
24;UPTSA Wonosari Site 1;PARTNER;172.16.131.0/24;131;;002;Komplek Setda Kab. Gunung Kidul, Jl. Brigjend Katamso No. 1, Wonosari;Gunungkidul;;
25;Galur;KCP;172.16.11.0/24;11;021;003;Ds. Pulo, Brosot, Galur;Kulon Progo;;
26;Nanggulan;KCP;172.16.10.0/24;10;022;003;Jatisarono, Nanggulan;Kulon Progo;;
27;Sentolo;KCP;172.16.19.0/24;19;023;003;Ruko Sentolo Indah, Ds. Kalibondol, Siwalan, Sentolo;Kulon Progo;;
28;Temon;KCP;172.16.20.0/24;20;024;003;Jl. Raya Wates Purworejo KM. 12, Temon;Kulon Progo;;
29;RSUD Wates;KK;172.16.79.0/24;79;025;003;Komplek RSUD Wates, Jl. Tentara Pelajar No.5, Wates;Kulon Progo;;
30;Bendungan;KK;172.16.42.0/24;42;026;003;Bendungan Kidul, Bendungan, Wates;Kulon Progo;;
31;Dekso;KK;172.16.18.0/24;18;027;022;Jogobayan, Banjararum, Kalibawang;Kulon Progo;;
32;Binangun;KK;172.16.47.0/24;47;028;003;Kompleks Pemerintah Kab. Kulonprogo, Jl. Perwakilan No. 1, Wates;Kulon Progo;;
33;Piyungan;KCP;172.16.36.0/24;36;029;004;Jl. Raya Wonosari KM. 14, Piyungan;Bantul;;
34;Imogiri;KCP;172.16.35.0/24;35;030;004;Jl. Imogiri - Siluk, Karangtalun, Imogiri;Bantul;;
35;RSUD Bantul;KK;172.16.66.0/24;66;031;004;Kompleks RSUD Bantul ,Jl. Dr. Wahidin Sudirohusodo, Jebukan;Bantul;;rsud panembahan senopati
36;Srandakan;KCP;172.16.38.0/24;38;032;004;Jl. Srandakan KM. 2, Barat Pasar Minggiran, Srandakan;Bantul;;
37;Sewon;KK;172.16.37.0/24;37;033;004;Jl. Bantul KM. 4 Kweni, Panggungharjo, Sewon;Bantul;;
38;Gabusan;KK;172.16.56.0/24;56;034;004;Jl. Parangtritis KM 9, Gatak, Timbulharjo, Sewon;Bantul;;
39;Sedayu;KCP;172.16.46.0/24;46;035;004;Jl. Wates KM. 10,5 No. 4 Argomulyo, Sedayu;Bantul;;
40;Kretek;KCP;172.16.45.0/24;45;036;004;Jl. Parangtritis KM. 21, Donokerto, Kretek;Bantul;;
41;Pleret;KCP;172.16.44.0/24;44;037;004;Timur Pasar Pleret, Kauman, Jl. Pleret, Trayeman, Pleret;Bantul;;
42;Parasamya;KK;172.16.41.0/24;41;038;004;Komplek Pemda Bantul, Jl. Robert Wolter Monginsidi;Bantul;;
43;Sanden;KK;172.16.51.0/24;51;039;004;Jl. Samas KM 22, Celep, Srigading, Sanden;Bantul;;
44;Kalasan;KCP;172.16.98.0/24;98;040;005;Jl. Yogya-Solo, KM. 14 Tirtomartani, Kalasan;Sleman;;
45;Pakem;KCP;172.16.27.0/24;27;041;005;Jl. Kaliurang Km. 17,5, Tegalsari, Pakembinangun, Pakem;Sleman;;
46;Condongcatur;KCP;172.16.28.0/24;28;042;005;Jl. Ringroad Utara, Mancasan Kidul, Dero, Condongcatur;Sleman;;
47;Godean;KCP;172.16.26.0/24;26;043;005;Jl. Godean, Sidoagung, Godean;Sleman;;
48;Gamping;KCP;172.16.29.0/24;29;044;005;Komplek Ruko Pelemgurih Kav. 7, Banyuraden, Gamping;Sleman;;
49;RSUD Sleman;KK;172.16.61.0/24;61;045;005;Komplek Rsud Sleman, Jl. Magelang KM 13, Morangan;Sleman;;
50;Tempel;KCP;172.16.33.0/24;33;046;005;Jl. Magelang Km 17, Margorejo, Tempel;Sleman;;
51;Mlati;KCP;172.16.30.0/24;30;047;005;Jl. Kebon Agung km 3, Tlogoadi, Mlati;Sleman;;
52;Ngaglik;KCP;172.16.32.0/24;32;048;005;Jl. Kaliurang, Gentan, Sinduharjo, Ngaglik;Sleman;;
53;Maguwoharjo;KCP;172.16.31.0/24;31;049;005;Pasar Stan, Maguwoharjo, Depok;Sleman;;
54;Turi;KK;172.16.49.0/24;49;050;005;Jl. Raya Turi Pakem, Donokerto, Turi;Sleman;;
55;Moyudan;KK;172.16.48.0/24;48;051;043;Ngijon, Sumber Agung, Moyudan;Sleman;;
56;Sayegan;KK;172.16.54.0/24;54;052;043;Ruko Margomulyo No 33-66, Jl. Godean, Tempel;Sleman;;
57;Ngemplak;KK;172.16.50.0/24;50;053;041;Kios Desa Widodomartani, Ngemplak;Sleman;;
58;Berbah;KK;172.16.65.0/24;65;054;040;Sanggrahan, Tegaltirto, Berbah;Sleman;;
59;Sembada;KK;172.16.53.0/24;53;055;005;Gedung BPKKD Lantai 1, Jl. Parasamya, Beran;Sleman;;
60;Kotagede;KCP;172.16.5.0/24;5;056;006;Jl. Kemasan, Prenggan, Kotagede;Yogyakarta;;
61;Manggung;KK;172.16.7.0/24;7;057;006;Jl. Kaliurang km 6,3, Manggung;Yogyakarta;;
62;RSUD Kota;KK;172.16.52.0/24;52;058;006;Komplek RSUD Kodya, Jl Wirosaban No. 1;Yogyakarta;;
63;Wirobrajan;KCP;172.16.6.0/24;6;059;006;Jl. Bugisan no. 38, Patangpuluhan;Yogyakarta;;
64;Prawirotaman;KCP;172.16.9.0/24;9;060;006;Jl. Parangtritis No. 55, Brontokusuman, Mergangsan;Yogyakarta;;
65;Widyamataram;KK;172.16.14.0/24;14;061;006;Jl. Polowijan No. 15, Patehan, Kraton;Yogyakarta;;
66;Balaikota;KK;172.16.55.0/24;55;062;006;Komplek Balaikota Yogyakarta, Jl. Kenari No.56, Muja Muju, Umbulharjo;Yogyakarta;;
67;Giwangan;KK;172.16.58.0/24;58;063;056;Jl. Imogiri Timur No. 155, Giwangan;Yogyakarta;;
68;Gedongkuning;KK;172.16.57.0/24;57;064;056;Jl. Gedongkuning Utara No. 148, Banguntapan;Bantul;;
69;Tlagareja;KK;172.16.59.0/24;59;065;044;Jl. Godean, Banyuraden, Gamping;Sleman;;
70;Sendangadi;KK;172.16.60.0/24;60;066;005;Jl. Magelang KM. 8 No. 95, Mulungan Wetan, Sendangadi, Mlati;Sleman;;
71;UNY;KK;172.16.67.0/24;67;067;042;Gedung Lab. Kewirausahaan UNY, Komplek UNY, Jl. Gejayan No. 16, Caturtunggal, Depok;Sleman;;
72;Sardjito;KK;172.16.40.0/24;40;068;001;Kompleks RSUP Dr. Sardjito, Jl. Kesehatan No. 1, Senolowo, Sinduadi, Mlati;Sleman;;rsup dr sardjito
73;Palagan;KK;172.16.68.0/24;68;069;001;Jl. Palagan Tentara Pelajar No. 92D, Ngaglik;Yogyakarta;;
74;DJP DIY;KK;172.16.71.0/24;71;070;001;Jl. Padjajaran (Jl. Ringroad Utara) No. 10 Maguwoharjo, Depok, Puyeran;Sleman;;kantor wilayah kanwil direktorat jenderal pajak diy
75;Baturetno;KK;172.16.72.0/24;72;071;029;Jl. Pleret-Kotagede, Ngipik, Baturetno, Banguntapan;Bantul;;
76;Pengasih;KK;172.16.75.0/24;75;072;003;Serang, Sendangsari, Pengasih;Kulon Progo;;
77;KKPD Bantul;PP;;;073;004;Jl. Badegan No.25, Bejen;Bantul;;
78;KPPD Yogyakarta;PP;;;074;001;Jl. Tentara Pelajar No.13, Bumijo, Jetis;Yogyakarta;;samsat yogyakarta
79;Janabadra;PP;;;075;006;Jl Tentara Rakyat Mataram No 55, Bumijo, Jetis;Yogyakarta;;universitas Janabadra
80;KPPD Sleman;PP;;;076;005;Jl Magelang KM. 12, Triharjo;Sleman;;
81;Instiper;KK;172.16.123.0/24;123;077;049;Jl Nangka Maguwoharjo, Depok;Sleman;;
82;KPP Bantul;PP;172.16.74.0/24;74;078;004;Jl Urip Sumoharjo, Gose;Bantul;;kantor pelayanan pajak pratama bantul
83;UMB;KK;172.16.127.0/24;127;079;004;Jl Wates KM. 10, Sedayu;Bantul;;universitas mercu buana
