id;site_id;type;contact_number
1;4;phone;(0274)561614
2;4;fax;(0274)562303
3;5;phone;(0274)561614
4;5;fax;(0274)562303
5;6;phone;(0274)391801
6;7;phone;(0274)773352
7;7;fax;(0274)773536
8;8;phone;(0274)367011
9;9;phone;(0274)868866
10;10;phone;(0274)562395
11;11;phone;(0274)555238
12;12;phone;(0274)486374
13;13;phone;(0274)521247
14;14;phone;(0274)553551
15;15;phone;08882740880
16;16;phone;(0274)392865
17;16;fax;(0274)392865
18;17;phone;(0274)392866
19;18;phone;(0274)394301
20;19;phone;(0274)7481930
21;20;phone;(0274)392636
22;21;phone;(0274)7491101
23;22;phone;(0274)7489667
24;23;phone;0822748556
25;25;phone;(0274)7496745
26;26;phone;(0274)522668
27;27;phone;(0274)778355
28;28;phone;(0274)778527
29;29;phone;(0274)774687
30;30;phone;(0274)773345
31;31;phone;0816671864
32;32;phone;(0274)773384
33;33;phone;(0274)522518
34;34;phone;(0274)6994165
35;34;fax;(0274)6460696
36;35;phone;(0274)7481509
37;36;phone;(0274)7485669
38;37;phone;(0274)7485667
39;38;phone;(0274)7481509
40;39;phone;(0274)7486606
41;40;phone;(0274)368478
42;41;phone;(0274)449952
43;42;phone;(0274)7485668
44;43;phone;(0274)7481324
45;44;phone;(0274)496356
46;45;phone;(0274)895680
47;46;phone;(0274)884225
48;46;fax;(0274)884225
49;47;phone;(0274)798082
50;48;phone;(0274)617373
51;49;phone;(0274)868086
52;50;phone;(0274)869161
53;51;phone;(0274)867605
54;52;phone;(0274)883502
55;53;phone;(0274)887603
56;54;phone;(0274)897439
57;55;phone;(0274)797358
58;56;phone;(0274)794327
59;57;phone;(0274)7481922
60;58;phone;(0274)497978
61;60;phone;(0274)371778
62;61;phone;(0274)563269
63;62;phone;(0274)383457
64;63;phone;(0274)381285
65;64;phone;(0274)378361
66;65;phone;(0274)374728
67;66;phone;(0274)553550
68;67;phone;(0274)7479844
69;68;phone;(0274)452451
70;69;phone;(0274)626358
71;70;phone;(0274)867700
72;76;phone;(0274)7103863
73;97;phone;(0274)8504099
