"id";"type";"contact_number";"site_id"
1;"phone";"0274561614";4
2;"fax";"0274562303";4
3;"phone";"(0274)561614";5
4;"fax";"(0274)562303";5
5;"phone";"(0274)391801";6
6;"phone";"(0274)773352";7
7;"fax";"(0274)773536";7
8;"phone";"(0274)367011";8
9;"phone";"(0274)868866";9
10;"phone";"(0274)562395";10
11;"phone";"(0274)555238";11
12;"phone";"(0274)486374";12
13;"phone";"(0274)521247";13
14;"phone";"(0274)553551";14
15;"phone";"08882740880";15
16;"phone";"(0274)392865";16
17;"fax";"(0274)392865";16
18;"phone";"(0274)392866";17
19;"phone";"(0274)394301";18
20;"phone";"(0274)7481930";19
21;"phone";"(0274)392636";20
22;"phone";"(0274)7491101";21
23;"phone";"(0274)7489667";22
24;"phone";"0822748556";23
25;"phone";"(0274)7496745";25
26;"phone";"(0274)522668";26
27;"phone";"(0274)778355";27
28;"phone";"(0274)778527";28
29;"phone";"(0274)774687";29
30;"phone";"(0274)773345";30
31;"phone";"0816671864";31
32;"phone";"(0274)773384";32
33;"phone";"(0274)522518";33
34;"phone";"(0274)6994165";34
35;"fax";"(0274)6460696";34
36;"phone";"(0274)7481509";35
37;"phone";"(0274)7485669";36
38;"phone";"(0274)7485667";37
39;"phone";"(0274)7481509";38
40;"phone";"(0274)7486606";39
41;"phone";"(0274)368478";40
42;"phone";"(0274)449952";41
43;"phone";"(0274)7485668";42
44;"phone";"(0274)7481324";43
45;"phone";"(0274)496356";44
46;"phone";"(0274)895680";45
47;"phone";"(0274)884225";46
48;"fax";"(0274)884225";46
49;"phone";"(0274)798082";47
50;"phone";"(0274)617373";48
51;"phone";"(0274)868086";49
52;"phone";"(0274)869161";50
53;"phone";"(0274)867605";51
54;"phone";"(0274)883502";52
55;"phone";"(0274)887603";53
56;"phone";"(0274)897439";54
57;"phone";"(0274)797358";55
58;"phone";"(0274)794327";56
59;"phone";"(0274)7481922";57
60;"phone";"(0274)497978";58
61;"phone";"(0274)371778";60
62;"phone";"(0274)563269";61
63;"phone";"(0274)383457";62
64;"phone";"(0274)381285";63
65;"phone";"(0274)378361";64
66;"phone";"(0274)374728";65
67;"phone";"(0274)553550";66
68;"phone";"(0274)7479844";67
69;"phone";"(0274)452451";68
70;"phone";"(0274)626358";69
71;"phone";"(0274)867700";70
72;"phone";"(0274)7103863";76
73;"phone";"(0274)8504099";97
74;"phone";"02747880912";163
