"id";"ipadd1";"ipadd2";"isp";"bandwidth";"media";"services";"status";"ipadd_others";"vrf_name";"links_name";"sites1_id";"sites2_id";"isp_link_id";"input_date"
1;"10.112.1.2/30";"10.112.1.1/30";"Lintasarta";5000;"FO";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Pusat-Lintasarta";4;1;"";"2018-11-30 03:47:53.225845"
2;"10.115.1.2/30";"10.115.1.1/30";"ICON";5000;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Pusat-ICON";4;2;"";"2018-11-30 06:25:51.524557"
3;"10.117.1.2/30";"10.117.1.1/30";"Telkom";5000;"FO";"MPLS";1;"";"BPDDIY-BRANCH-TELKOM";"Pusat-Telkom";4;3;"";"2018-11-30 06:25:51.524557"
4;"10.117.1.22/30";"10.117.1.21/30";"Telkom";512;"FO";"MPLS";1;"";"BPDDIY-BRANCH-TELKOM";"Senopati-Telkom";10;3;"";"2018-11-30 03:47:53.225845"
5;"10.111.1.22/30";"10.111.1.21/30";"Lintasarta";512;"FO";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Senopati-Lintasarta";10;1;"";"2018-11-30 03:47:53.225845"
6;"10.111.1.202/30";"10.111.1.201/30";"Lintasarta";256;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Kotagede-Lintasarta";60;1;"";"2018-11-30 03:47:53.225845"
7;"10.115.1.202/30";"10.115.1.201/30";"ICON";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Kotagede-ICON";60;2;"";"2018-11-30 03:47:53.225845"
8;"10.111.1.210/30";"10.111.1.209/30";"Lintasarta";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Wirobrajan-Lintasarta";63;1;"";"2018-11-30 03:47:53.225845"
9;"10.115.1.210/30";"10.115.1.209/30";"ICON";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Wirobrajan-ICON";63;2;"";"2018-11-30 03:47:53.225845"
10;"10.111.1.118/30";"10.111.1.117/30";"Lintasarta";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Manggung-Lintasarta";61;1;"";"2018-11-30 03:47:53.225845"
11;"10.115.1.118/30";"10.115.1.117/30";"ICON";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Manggung-ICON";61;2;"";"2018-11-30 03:47:53.225845"
12;"10.111.1.122/30";"10.111.1.121/30";"Lintasarta";128;"FO";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Bethesda-Lintasarta";13;1;"";"2018-11-30 03:47:53.225845"
13;"10.111.1.146/30";"10.111.1.145/30";"Lintasarta";256;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Prawirotaman-Lintasarta";64;1;"";"2018-11-30 03:47:53.225845"
14;"10.117.1.146/30";"10.117.1.145/30";"Telkom";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-TELKOM";"Prawirotaman-Telkom";64;3;"";"2018-11-30 03:47:53.225845"
15;"10.111.1.158/30";"10.111.1.157/30";"Lintasarta";256;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Nanggulan-Lintasarta";26;1;"";"2018-11-30 03:47:53.225845"
16;"10.115.1.158/30";"10.115.1.157/30";"ICON";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Nanggulan-ICON";26;2;"";"2018-11-30 03:47:53.225845"
17;"10.111.1.190/30";"10.111.1.189/30";"Lintasarta";256;"BWA";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Galur-Lintasarta";25;1;"";"2018-11-30 03:47:53.225845"
18;"10.115.1.190/30";"10.115.1.189/30";"ICON";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Galur-ICON";25;2;"";"2018-11-30 03:47:53.225845"
19;"10.111.1.222/30";"10.111.1.221/30";"Lintasarta";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-LINTASARTA";"Semin-Lintasarta";15;1;"";"2018-11-30 03:47:53.225845"
20;"10.115.1.222/30";"10.115.1.221/30";"ICON";256;"FO";"MPLS";1;"";"BPDDIY-BRANCH-ICON";"Semin-ICON";15;2;"";"2018-11-30 03:47:53.225845"
