"id";"name";"type";"location";"city";"description";"ipadd";"site_code";"area_code";"tagline"
1;"POP-Lintasarta";"POP";"Nearest POP";"All City";"Point of Presence (PoP) adalah infrastruktur ISP terluar/terdekat dengan customer";"";"";"";""
2;"POP-ICON";"POP";"Nearest POP";"All City";"Point of Presence (PoP) adalah infrastruktur ISP terluar/terdekat dengan customer";"";"";"";""
3;"POP-Telkom";"POP";"Nearest POP";"All City";"Point of Presence (PoP) adalah infrastruktur ISP terluar/terdekat dengan customer";"";"";"";""
4;"Pusat";"HO";"Jl. Tentara Pelajar No.7, Bumijo, Jetis";"Yogyakarta";"Kantor Pusat berada di lantai 3, 4 dan 5";"";"000";"000";""
5;"Utama";"KC";"Jl. Tentara Pelajar No.7, Bumijo, Jetis";"Yogyakarta";"";"172.16.3.0/24";"001";"000";""
6;"Wonosari";"KC";"Jl. Brigjen Katamso No. 4, Wonosari";"Gunungkidul";"";"172.16.22.0/24";"002";"000";""
7;"Wates";"KC";"Jl. Stasiun No. 1, Wates";"Kulon Progo";"";"172.16.24.0/24";"003";"000";""
8;"Bantul";"KC";"Jl. Jend. Sudirman No. 2A";"Bantul";"";"172.16.34.0/24";"004";"000";""
9;"Sleman";"KC";"Jl. Magelang KM. 11, Tridadi";"Sleman";"";"172.16.25.0/24";"005";"000";""
10;"Senopati";"KC";"Jl. P. Senopati No. 5-7, Ngupasan, Gondomanan";"Yogyakarta";"";"172.16.4.0/24";"006";"000";""
11;"Malioboro";"KCP";"Kompleks Kepatihan, Jl. Marioboro, Danurejan";"Yogyakarta";"";"172.16.39.0/24";"007";"001";""
12;"UPN";"KK";"Jl. SWK 104 (Lingkar Utara) Condongcatur";"Yogyakarta";"";"172.16.73.0/24";"008";"001";"upn veteran"
13;"Bethesda";"KK";"Jl. Jend. Sudirman No. 70";"Yogyakarta";"";"172.16.8.0/24";"009";"001";"rs bethesda"
14;"Lempuyangan";"KK";"Jl. Hayam Wuruk No. 6";"Yogyakarta";"";"172.16.43.0/24";"010";"001";"rskia bethesda lempuyangwangi"
15;"Semin";"KCP";"Jl. Raya Semin, Semin";"Gunungkidul";"";"172.16.12.0/24";"011";"002";""
16;"Karangmojo";"KCP";"Jl. Karangmojo-Wonosari KM. 9 Semin, Plumbungan, Karangmojo";"Gunungkidul";"";"172.16.23.0/24";"012";"002";""
17;"Playen";"KCP";"Jl. Pramuka, Dusun Playen I, Playen";"Gunungkidul";"";"172.16.15.0/24";"013";"002";""
18;"RSUD Wonosari";"KK";"Komplek RSUD Wonosari, Jl. Taman Bakti No 6, Wonosari";"Gunungkidul";"";"172.16.86.0/24";"014";"002";""
19;"Ponjong";"KK";"Jl. Depan Pasar Ponjong, Karangijo Wetan, Ponjong";"Gunungkidul";"";"172.16.17.0/24";"015";"012";""
20;"Semanu";"KK";"Kompleks Pasar Munggi No. 106  RT. 01/RW. 03, Semanu";"Gunungkidul";"";"172.16.16.0/24";"016";"012";""
21;"Nglipar";"KCP";"Jl. Raya Wonosari Nglipar KM. 11";"Gunungkidul";"";"172.16.64.0/24";"017";"002";""
22;"Patuk";"KK";"Jl. Raya Patuk Wonosari KM 18 No. 38 ";"Gunungkidul";"";"172.16.62.0/24";"018";"013";""
